2026/06/16 18:57:50 [notice] 1#1: using the "epoll" event method
2026/06/16 18:57:50 [notice] 1#1: nginx/1.29.6
2026/06/16 18:57:50 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2026/06/16 18:57:50 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
2026/06/16 18:57:50 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2026/06/16 18:57:50 [notice] 1#1: start worker processes
2026/06/16 18:57:50 [notice] 1#1: start worker process 29
2026/06/16 18:57:50 [notice] 1#1: start worker process 30
2026/06/16 18:57:50 [notice] 1#1: start worker process 31
2026/06/16 18:57:50 [notice] 1#1: start worker process 32
2026/06/16 18:57:50 [notice] 1#1: start worker process 33
2026/06/16 18:57:50 [notice] 1#1: start worker process 34
2026/06/16 18:57:50 [notice] 1#1: start worker process 35
2026/06/16 18:57:50 [notice] 1#1: start worker process 36
2026/06/16 18:57:50 [notice] 1#1: start worker process 37
2026/06/16 18:57:50 [notice] 1#1: start worker process 38
2026/06/16 18:57:50 [notice] 1#1: start worker process 39
2026/06/16 18:57:50 [notice] 1#1: start worker process 40
2026/06/16 18:57:50 [notice] 1#1: start worker process 41
2026/06/16 18:57:50 [notice] 1#1: start worker process 42
2026/06/16 18:57:50 [notice] 1#1: start worker process 43
2026/06/16 18:57:50 [notice] 1#1: start worker process 44
2026/06/16 18:57:50 [notice] 1#1: start worker process 45
2026/06/16 18:57:50 [notice] 1#1: start worker process 46
2026/06/16 19:00:13 [error] 29#29: *1 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.19.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/"
